date,active_users,new_users,sessions,key_events,organic_search_sessions,referral_sessions,ai_assistant_sessions,direct_sessions,unassigned_sessions,top_page,avg_engagement_time
2026-08-08,0,0,0,0,0,0,0,0,0,N/A,0s
2026-08-09,1,1,1,0,0,0,0,1,0,/,0s
2026-08-10,0,0,0,0,0,0,0,0,0,N/A,0s
2026-08-12,0,0,0,0,0,0,0,0,0,N/A,0s
